store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale,data_last_refreshed_at,sale_valid_until
sobeys,flyer,SCHNEIDERS,"SCHNEIDERS Bacon, Juicy Jumbo Pork or Beef Wieners or Smoked Sausages","SCHNEIDERS Bacon, Juicy Jumbo Pork or Beef Wieners or Smoked Sausages",,4.99,each,,1.3306666666666669,100g,True,True,02/23/2023,03/01
sobeys,flyer,JOHNSONVILLE,JOHNSONVILLE Pork Smoked or Fully Cooked Breakfast Sausages,JOHNSONVILLE Pork Smoked or Fully Cooked Breakfast Sausages,,4.99,each,,1.9960000000000002,100g,True,True,02/23/2023,03/01
sobeys,flyer,KRAFT,KRAFT Dinner Cups,KRAFT Dinner Cups,,3.97,each,,0.9925,1ea,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Spring Water,COMPLIMENTS Spring Water,,2.99,each,,0.19415584415584416,100ml,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Breasts,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Breasts,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Thighs,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Thighs,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Chicken Drumsticks or Thighs,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Chicken Drumsticks or Thighs,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Split Chicken Wings,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Split Chicken Wings,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Whole Chicken,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Whole Chicken,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,,COMPLIMENTS Extra Lean Ground Chicken or Minced Turkey,COMPLIMENTS Extra Lean Ground Chicken or Minced Turkey,,5.5,ea when you buy 2 or more,,1.2222222222222223,100g,False,True,02/23/2023,03/01
