store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
freshco,flyer,,McCain Regular Fries 900 g,McCain Regular Fries 900 g,,2.29,each,,0.2544444444444445,100g,True,True
freshco,flyer,,Grace Chicken Wings 750g Selected Varieties,Grace Chicken Wings 750g Selected Varieties,,12.99,each,,12.99,,True,True
freshco,flyer,,Grace Jerk Chicken Patties 600 g Selected Varieties,Grace Jerk Chicken Patties 600 g Selected Varieties,,10.0,each,,0.8333333333333334,100g,True,True
freshco,flyer,,Fontaine Santé Hummus 227-250g The Laughing Cow 8 pk Kiri 150g,Fontaine Santé Hummus 227-250g The Laughing Cow 8 pk Kiri 150g,,2.99,each,,0.37375,1ea,True,True
freshco,flyer,,Summer Fresh Salad 800 g-1 kg,Summer Fresh Salad 800 g-1 kg,,6.99,each,,0.87375,100g,True,True
freshco,flyer,,Pharmacy Appointment,Pharmacy Appointment,,,each,,,,True,True
freshco,flyer,,Daiya Dairy-Free Shreds 200 g,Daiya Dairy-Free Shreds 200 g,,3.99,each,,1.9950000000000003,100g,True,True
freshco,flyer,,Sensible Portions Garden Veggie Straws 120-142g,Sensible Portions Garden Veggie Straws 120-142g,,2.49,each,,2.49,,True,True
freshco,flyer,,Daiya Dairy-Free Slices 220 g,Daiya Dairy-Free Slices 220 g,,3.99,each,,1.8136363636363637,100g,True,True
freshco,flyer,,Made Good Bars 100-144g Selected Varieties,Made Good Bars 100-144g Selected Varieties,,3.49,each,,3.49,,True,True
freshco,flyer,,Kashi Cereal 340-460g Selected Varieties,Kashi Cereal 340-460g Selected Varieties,,4.99,each,,4.99,,True,True
freshco,flyer,,Nuts to You Nut Butter Inc. 365 g Selected Varieties,Nuts to You Nut Butter Inc. 365 g Selected Varieties,,9.99,each,,2.736986301369863,100g,True,True
freshco,flyer,,RX Bars 52 g,RX Bars 52 g,,2.49,each,,4.788461538461538,100g,True,True
freshco,flyer,,Harvest Snaps Snacks 94 g Selected Varieties,Harvest Snaps Snacks 94 g Selected Varieties,,2.49,each,,2.648936170212766,100g,True,True
freshco,flyer,,Betty Crocker Gluten Free Mixes 454-539 g Selected Varieties,Betty Crocker Gluten Free Mixes 454-539 g Selected Varieties,,5.49,each,,1.2092511013215859,100g,True,True
freshco,flyer,,"EARN REWARDS FASTER WITH UP TO 10,000 BONUS POINTS","EARN REWARDS FASTER WITH UP TO 10,000 BONUS POINTS",,,each,,,,True,True
freshco,flyer,,Made Good Bars 100-144g Selected Varieties,Made Good Bars 100-144g Selected Varieties,,3.49,each,,3.49,,True,True
freshco,flyer,,Lindt Lindor Amour Heart Milk Chocolate Assorted 108 g,Lindt Lindor Amour Heart Milk Chocolate Assorted 108 g,,9.99,each,,9.25,100g,True,True
freshco,flyer,,Hershey's Hugs or Kisses 180 g,Hershey's Hugs or Kisses 180 g,,4.49,each,,2.4944444444444445,100g,True,True
freshco,flyer,,Kinder Surprise Valentine's Chocolate Heart 40 g,Kinder Surprise Valentine's Chocolate Heart 40 g,,2.49,each,,6.2250000000000005,100g,True,True
freshco,flyer,,3 Steam Roses with Greens & Baby's Breath,3 Steam Roses with Greens & Baby's Breath,,6.99,each,,6.99,,True,True
freshco,flyer,,Valentine's Mixed Bouquet,Valentine's Mixed Bouquet,,7.99,each,,7.99,,True,True
freshco,flyer,,Ferrero Rocher Chocolate Heart 100 g,Ferrero Rocher Chocolate Heart 100 g,,5.99,each,,5.99,100g,True,True
freshco,flyer,,Cadbury Chocolate Bag 152-188 g,Cadbury Chocolate Bag 152-188 g,,4.0,each,,2.631578947368421,100g,True,True
freshco,flyer,,Compliments Cinnamon Hearts 150 g,Compliments Cinnamon Hearts 150 g,,1.49,each,,0.9933333333333334,100g,True,True
freshco,flyer,,Kit Kat Valentine's Mini Bars 30 pk 375 g,Kit Kat Valentine's Mini Bars 30 pk 375 g,,6.49,each,,0.21633333333333335,1ea,True,True
freshco,flyer,,Ferrero Rocher Chocolate 3 pk,Ferrero Rocher Chocolate 3 pk,,1.25,each,,0.4166666666666667,1ea,True,True
freshco,flyer,,Rose & Alstroemeria 8 Stem Bouquets,Rose & Alstroemeria 8 Stem Bouquets,,12.99,each,,12.99,,True,True
freshco,flyer,,Dozen Rose Bouquet,Dozen Rose Bouquet,,12.99,each,,12.99,,True,True
freshco,flyer,,6 Steam Roses with Greens & Baby's Breath Roses,6 Steam Roses with Greens & Baby's Breath Roses,,12.99,each,,12.99,,True,True
freshco,flyer,,3 Steam Roses with Greens & Baby's Breath,3 Steam Roses with Greens & Baby's Breath,,6.99,each,,6.99,,True,True
freshco,flyer,,Valentine's Mixed Bouquet,Valentine's Mixed Bouquet,,12.99,each,,12.99,,True,True
freshco,flyer,,Valentine's Mixed Bouquet,Valentine's Mixed Bouquet,,7.99,each,,7.99,,True,True
freshco,flyer,,"Orchids 5"" Deco Plastic Pot","Orchids 5"" Deco Plastic Pot",,14.99,each,,14.99,,True,True
freshco,flyer,,"Orchids 4"" Deco Pot","Orchids 4"" Deco Pot",,10.99,each,,10.99,,True,True
freshco,flyer,,Large Valentine's Mixed Bouquet,Large Valentine's Mixed Bouquet,,14.99,each,,14.99,,True,True
freshco,flyer,,"Mini Roses 6"" Pot","Mini Roses 6"" Pot",,7.99,each,,7.99,,True,True
freshco,flyer,,"Mini Roses 4"" Pot","Mini Roses 4"" Pot",,4.49,each,,4.49,,True,True
freshco,flyer,,Rose & Alstroemeria 8 Stem Bouquets,Rose & Alstroemeria 8 Stem Bouquets,,12.99,each,,12.99,,True,True
freshco,flyer,,Seedless Oranges Product of USA 3.28/kg,Seedless Oranges Product of USA 3.28/kg,,1.49,/lb,,1.49,,False,True
freshco,flyer,,"Mini Seedless Cucumbers 6 Pack Product or Ontario, Canada No. 1 Grape Tomatoes pint Products of USA or Mexico","Mini Seedless Cucumbers 6 Pack Product or Ontario, Canada No. 1 Grape Tomatoes pint Products of USA or Mexico",,2.99,each,,2.99,,True,True
freshco,flyer,,6 Steam Roses with Greens & Baby's Breath Roses,6 Steam Roses with Greens & Baby's Breath Roses,,12.99,each,,12.99,,True,True
freshco,flyer,,Cantaloupe Product of Guatemala or Brazil No. 1 Grade,Cantaloupe Product of Guatemala or Brazil No. 1 Grade,,2.99,each,,2.99,,True,True
freshco,flyer,,Jumbo Golden Pineapples Product of Costa Rica,Jumbo Golden Pineapples Product of Costa Rica,,3.99,each,,3.99,,True,True
freshco,flyer,,Fruit or Vegetable Platter with Dip 1.36-1.45 kg,Fruit or Vegetable Platter with Dip 1.36-1.45 kg,,14.0,each,,1.0294117647058822,100g,True,True
freshco,flyer,,Celery Product of USA No. 1 Grade,Celery Product of USA No. 1 Grade,,2.99,each,,2.99,,True,True
freshco,flyer,,Litehouse Dressing Assorted 384 mL,Litehouse Dressing Assorted 384 mL,,3.99,each,,3.99,,True,True
freshco,flyer,,Litehouse Dips Assorted 340 g,Litehouse Dips Assorted 340 g,,3.49,each,,1.0264705882352942,100g,True,True
freshco,flyer,,RS Cashews Roasted & Salted 200 g,RS Cashews Roasted & Salted 200 g,,4.0,each,,2.0,100g,True,True
freshco,flyer,,RS Mini or Stick Pretzels 908 g RS Caramel Corn 600g,RS Mini or Stick Pretzels 908 g RS Caramel Corn 600g,,3.99,each,,0.4394273127753304,100g,True,True
freshco,flyer,,"Mini Roses 4"" Pot","Mini Roses 4"" Pot",,4.49,each,,4.49,,True,True
freshco,flyer,,Wonderful Pistachios No Shells Assorted 155-170 g,Wonderful Pistachios No Shells Assorted 155-170 g,,5.99,each,,3.8645161290322583,100g,True,True
freshco,flyer,,RS Party Mix 700 g,RS Party Mix 700 g,,6.99,each,,0.9985714285714286,100g,True,True
freshco,flyer,,Wonderful Pistachois 450 g Rosted & Salted Product of USA,Wonderful Pistachois 450 g Rosted & Salted Product of USA,,8.99,each,,1.9977777777777779,100g,True,True
freshco,flyer,,Planters Roasted Peanuts 2kg Product of USA,Planters Roasted Peanuts 2kg Product of USA,,11.99,each,,11.99,,True,True
freshco,flyer,,Little Sheep Hot Pot Soup 130-235 g Selected Varieties or Haidilao Hot Pot Seasoning 200-220 g,Little Sheep Hot Pot Soup 130-235 g Selected Varieties or Haidilao Hot Pot Seasoning 200-220 g,,3.99,each,,3.0692307692307694,100g,True,True
freshco,flyer,,Swanson Chicken Broth 412 mL,Swanson Chicken Broth 412 mL,,14.99,each,,1.2491666666666668,,True,True
