store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
sobeys,flyer,HEAD & SHOULDERS,HEAD & SHOULDERS Hair Care,HEAD & SHOULDERS Hair Care,,6.49,each,,6.49,,True,True
sobeys,flyer,SPEED STICK,SPEED STICK Antiperspirant or Deodorant,SPEED STICK Antiperspirant or Deodorant,,3.49,each,,7.7555555555555555,100g,True,True
sobeys,flyer,,DOVE or DEGREE Clinical Deodorant,DOVE or DEGREE Clinical Deodorant,,8.99,each,,19.977777777777778,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Custom Grip Disposable Razors,COMPLIMENTS Custom Grip Disposable Razors,,3.99,each,,0.399,1ea,True,True
sobeys,flyer,PAMPERS,PAMPERS Super Econo Plus Diapers,PAMPERS Super Econo Plus Diapers,,34.99,each,,0.3976136363636364,1ea,True,True
sobeys,flyer,LOVE CHILD,LOVE CHILD ORGANICS Fruit or Veggie Purées,LOVE CHILD ORGANICS Fruit or Veggie Purées,,1.99,ea when you buy 2 or more,,1.99,,False,True
sobeys,flyer,NESTLÉ,NESTLÉ Gerber Snacks,NESTLÉ Gerber Snacks,,6.0,each,,7.142857142857142,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Baby Wipes,COMPLIMENTS Baby Wipes,,8.49,each,,0.04421875,1ea,True,True
sobeys,flyer,NICORETTE,"NICORETTE Gum or Lozenges 80-105pk, Quick Mist or NICODERM Patches","NICORETTE Gum or Lozenges 80-105pk, Quick Mist or NICODERM Patches",,,each,,,1ea,True,True
sobeys,flyer,IMODIUM,IMODIUM,IMODIUM,,,each,,,1ea,True,True
sobeys,flyer,,TYLENOL Pain Relief,TYLENOL Pain Relief,,,each,,,1ea,True,True
sobeys,flyer,,"TYLENOL or BENYLIN Cough, Cold & Flu","TYLENOL or BENYLIN Cough, Cold & Flu",,,each,,,,True,True
sobeys,flyer,VOLTAREN,"VOLTAREN Back, Muscle & Joint Pain Relief","VOLTAREN Back, Muscle & Joint Pain Relief",,,each,,,,True,True
sobeys,flyer,,Pharmacy Appointments,Pharmacy Appointments,,,each,,,,True,True
sobeys,flyer,SOUP'S ON!,SOUP'S ON! Plant Based Soups,SOUP'S ON! Plant Based Soups,,9.49,with Scene+ Card,,9.49,,False,True
sobeys,flyer,,Cremini/Baby Bella,Cremini/Baby Bella,,,each,,,,True,True
sobeys,flyer,,King Oyster,King Oyster,,,each,,,,True,True
sobeys,flyer,,Stuffers,Stuffers,,,each,,,,True,True
sobeys,flyer,,Oyster,Oyster,,,each,,,,True,True
sobeys,flyer,,Portobello,Portobello,,,each,,,,True,True
